,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Edgar Lacey,1968-69,24.0,['LAS'],ABA,SF,46.0,,13.2,2.1,4.8,0.447,0.0,0.0,0.0,2.1,4.7,0.452,0.447,0.8,1.5,0.567,1.5,2.4,3.9,0.7,,,1.4,2.0,5.1,0,19.0,10.0,4.0,,,,['UCLA'],,0,0,0,9,1967,
0,Ralph Lewis,1987-88,24.0,['DET' 'CHH' 'TOT'],NBA,SG,50.0,0.0,8.0,1.4,2.9,0.667,0.0,0.1,0.333,1.4,2.8,0.667,0.667,0.7,1.0,1.0,1.3,0.7,2.0,0.4,0.3,0.1,0.6,0.7,3.3,1,17.0,6.0,3.0,2.0,2.0,12.2,['LASALLE'],,0,0,0,23,1985,
0,Ty Lawson,2009-10,22.0,['DEN' 'TOT' 'HOU' 'IND' 'SAC'],NBA,PG,80.0,75.0,35.8,6.1,13.3,0.515,1.2,3.3,0.41,5.0,10.1,0.544,0.559,5.2,6.5,0.824,0.9,2.8,3.7,9.6,1.6,0.2,3.2,1.8,17.6,1,37.0,10.0,18.0,8.0,2.0,36.9,['UNC'],https://www.basketball-reference.com/req/202106291/images/headshots/lawsoty01.jpg,0,0,0,18,2009,1.0
0,Jerome Lane,1988-89,22.0,['DEN' 'TOT' 'IND' 'MIL' 'CLE'],NBA,PF,67.0,46.0,22.3,3.3,7.4,1.0,0.0,0.1,0.25,3.2,7.4,1.0,1.0,0.9,2.3,0.5,4.5,4.8,9.3,2.0,0.8,0.3,1.7,3.1,7.5,1,22.0,25.0,7.0,4.0,2.0,20.0,['PITT'],,0,0,0,23,1988,
0,Harry Laurie,1970-71,26.0,['PTC'],ABA,,9.0,,6.3,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.8,1.2,0.636,0.8,0.9,1.7,0.9,,,1.1,1.8,1.4,0,4.0,3.0,,,,,['LOYOLACHI' 'STPETERS'],,0,0,0,6,1968,
0,Timothé Luwawu-Cabarrot,2016-17,21.0,['PHI' 'TOT' 'OKC' 'CHI' 'BRK' 'ATL'],NBA,SF,69.0,19.0,18.8,2.5,6.1,0.435,1.3,4.1,0.388,1.4,2.9,0.505,0.55,1.5,1.8,0.854,0.6,2.5,2.7,1.2,0.6,0.2,1.1,2.3,7.8,1,26.0,10.0,5.0,4.0,2.0,20.2,,https://www.basketball-reference.com/req/202106291/images/headshots/luwawti01.jpg,0,0,0,24,2016,
0,John Lucas III,2005-06,23.0,['HOU' 'CHI' 'TOR' 'UTA' 'DET' 'MIN'],NBA,PG,63.0,6.0,14.8,2.9,7.3,0.404,1.1,2.9,0.393,1.8,4.4,0.5,0.476,0.6,1.0,1.0,0.4,1.1,1.6,2.9,0.4,0.0,0.9,1.0,7.5,0,25.0,8.0,9.0,4.0,1.0,22.8,['BAYLOR' 'OKSTATE'],https://www.basketball-reference.com/req/202106291/images/headshots/lucasjo02.jpg,0,0,0,,,
0,Martin Lewis,1995-96,20.0,['TOR'],NBA,SF,16.0,0.0,11.8,1.8,3.8,0.483,0.1,0.4,0.333,1.7,3.3,0.509,0.5,0.9,1.6,0.6,0.9,0.9,1.8,0.4,0.5,0.2,0.9,1.3,4.7,0,17.0,5.0,1.0,2.0,2.0,12.4,['BUTLERCOCC' 'SEWARDCCC'],,0,0,0,21,1995,
0,Jake Layman,2016-17,22.0,['POR' 'MIN'],NBA,SF,71.0,33.0,22.0,3.5,7.8,0.509,1.0,3.1,0.333,2.5,4.7,0.646,0.579,1.0,1.4,0.765,0.8,2.3,3.1,0.7,0.7,0.4,1.0,2.0,9.1,0,25.0,11.0,4.0,5.0,4.0,22.3,['MARYLAND'],https://www.basketball-reference.com/req/202106291/images/headshots/laymaja01.jpg,0,0,0,17,2016,
0,Acie Law,2007-08,23.0,['ATL' 'TOT' 'GSW' 'CHA' 'CHI' 'MEM'],NBA,PG,56.0,6.0,15.8,2.0,4.2,0.643,0.3,1.0,0.333,1.8,3.6,0.727,0.679,2.4,3.0,0.857,0.3,1.1,1.3,2.0,1.2,0.1,1.0,1.3,6.2,1,22.0,6.0,8.0,5.0,1.0,21.2,['TEXASAM'],https://www.basketball-reference.com/req/202106291/images/headshots/lawac01.jpg,0,0,0,11,2007,
0,Hal Lear,1956-57,22.0,['PHW'],NBA,,3.0,,4.7,0.7,2.0,0.333,,,,,,,,0.0,0.0,,,,0.3,0.3,,,,1.0,1.3,0,4.0,1.0,1.0,,,,['TEMPLE'],,0,0,0,8,1956,
0,Keith Langford,2007-08,24.0,['SAS'],NBA,SG,2.0,0.0,5.0,0.5,2.0,0.25,0.0,0.0,,0.5,2.0,0.25,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0,2.0,2.0,,,,0.9,['KANSAS'],,0,0,0,,,
0,Nicolás Laprovíttola,2016-17,27.0,['SAS'],NBA,PG,18.0,3.0,9.7,1.1,2.6,0.426,0.6,1.5,0.37,0.6,1.1,0.5,0.532,0.5,0.5,1.0,0.1,0.5,0.6,1.6,0.2,0.1,1.1,1.1,3.3,0,11.0,4.0,5.0,2.0,1.0,11.2,,https://www.basketball-reference.com/req/202106291/images/headshots/laproni01.jpg,0,0,0,,,
0,Kurk Lee,1990-91,23.0,['NJN'],NBA,PG,48.0,0.0,5.5,0.4,1.5,0.268,0.1,0.3,0.2,0.3,1.2,0.286,0.289,0.5,0.6,0.893,0.1,0.5,0.6,0.7,0.2,0.0,0.4,0.8,1.4,0,8.0,4.0,6.0,2.0,1.0,8.0,['WKENTUCKY' 'TOWSON'],,0,0,0,,,
0,Stan Love,1971-72,22.0,['BAL' 'LAL' 'TOT' 'SAA'],NBA,PF,74.0,,17.9,3.3,7.2,0.451,0.0,0.0,,3.3,7.2,0.451,0.451,1.6,2.2,0.79,1.1,2.3,4.6,0.9,0.5,0.4,0.5,2.7,7.9,1,28.0,13.0,6.0,3.0,4.0,,['OREGON'],,0,0,0,9,1971,
0,James Lang,2006-07,23.0,['WAS'],NBA,C,11.0,0.0,5.0,0.4,0.8,0.444,0.0,0.0,,0.4,0.8,0.444,0.444,0.3,0.5,0.6,0.5,0.5,1.0,0.2,0.0,0.3,0.2,1.3,1.0,0,7.0,4.0,2.0,,3.0,7.9,,,0,0,0,19,2003,
