,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,George Nostrand,1946-47,23.0,['TOT' 'TRH' 'CLR' 'PRO' 'BOS' 'TRI' 'CHS'],BAA,,61.0,,,5.0,14.7,0.5,,,,,,,,3.1,5.3,0.615,,,,1.7,,,,3.3,12.0,1,28.0,,7.0,,,,,0,0,0,,,,
0,Larry Nance Jr.,2015-16,23.0,['LAL' 'TOT' 'CLE' 'POR' 'NOP'],NBA,PF,67.0,30.0,31.2,4.1,7.8,0.61,1.2,3.3,0.5,3.6,6.3,0.654,0.633,1.5,2.1,1.0,2.6,5.7,8.2,3.2,1.7,0.8,1.6,2.9,10.1,1,23.0,19.0,9.0,6.0,30.1,['WYOMING'],https://www.basketball-reference.com/req/202106291/images/headshots/nancela02.jpg,0,0,0,27,2015,4.0,
0,Nerlens Noel,2013-14,19.0,['PHI' 'TOT' 'DAL' 'OKC' 'NYK' 'DET' 'BRK'],Did Not Play (injury—knee),Did Not Play (injury—knee),77.0,71.0,30.8,4.6,8.8,0.684,0.1,0.1,0.5,4.6,8.7,0.688,0.686,2.0,3.4,0.755,2.5,5.8,8.1,1.8,1.8,2.2,2.4,2.9,11.1,1,30.0,17.0,6.0,7.0,29.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/noelne01.jpg,0,0,0,6,2013,9.0,
0,Raul Neto,2015-16,23.0,['UTA' 'PHI' 'WAS' 'CLE'],NBA,PG,81.0,53.0,21.9,3.3,7.0,0.518,1.0,2.6,0.404,2.4,4.6,0.662,0.573,1.2,1.5,0.912,0.4,2.0,2.4,3.1,1.1,0.1,1.3,1.7,8.7,0,25.0,9.0,10.0,5.0,21.8,,https://www.basketball-reference.com/req/202106291/images/headshots/netora01.jpg,0,0,0,17,2013,2.0,
0,Jim Neal,1953-54,23.0,['SYR' 'BLB'],NBA,C,67.0,,14.9,1.7,5.5,0.317,,,,,,,,1.2,2.0,0.667,,,3.8,0.7,,,,2.1,4.7,0,18.0,15.0,3.0,,,,,0,0,0,7,1953,,
0,Dirk Nowitzki,1998-99,20.0,['DAL'],NBA,PF,82.0,82.0,39.0,9.6,20.0,0.517,1.9,4.9,0.421,8.8,17.9,0.538,0.549,7.9,9.1,0.915,1.6,8.9,9.9,3.5,1.4,1.5,2.3,3.1,26.6,0,53.0,23.0,12.0,9.0,48.0,,https://www.basketball-reference.com/req/202106291/images/headshots/nowitdi01.jpg,14,1,1,9,1998,7.0,2.0
0,Howard Nathan,1995-96,24.0,['ATL'],NBA,PG,5.0,0.0,3.0,1.0,1.8,0.556,0.0,0.2,0.0,1.0,1.6,0.625,0.556,0.6,0.8,0.75,0.0,0.0,0.0,0.4,0.6,0.0,1.6,0.4,2.6,0,6.0,,2.0,3.0,3.6,['DEPAUL' 'ULAMO'],,0,0,0,,,,
0,Aaron Nesmith,2020-21,21.0,['BOS' 'IND'],NBA,SF,73.0,60.0,24.9,3.5,8.1,0.438,1.6,4.3,0.37,1.9,3.8,0.612,0.551,1.6,1.9,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,0,25.0,10.0,4.0,4.0,22.3,['VANDY'],https://www.basketball-reference.com/req/202106291/images/headshots/nesmiaa01.jpg,0,0,0,14,2020,3.0,
0,Sylvester Norris,1979-80,22.0,['SAS'],NBA,C,17.0,,11.1,1.1,2.5,0.419,0.0,0.0,,1.1,2.5,0.419,0.419,0.2,0.4,0.667,0.6,1.9,2.5,0.4,0.2,0.7,1.1,2.4,2.4,0,8.0,8.0,4.0,1.0,7.8,['JACKSONST'],,0,0,0,19,1979,4.0,
0,Chuck Nevitt,1982-83,23.0,['HOU' 'LAL' 'TOT' 'DET' 'CHI' 'SAS'],NBA,C,43.0,0.0,10.7,1.8,2.8,1.0,0.0,0.0,,1.8,2.8,1.0,1.0,3.0,6.0,0.75,1.0,1.8,2.8,0.5,0.5,2.0,1.3,2.3,3.8,1,12.0,10.0,2.0,1.0,14.3,['NCSTATE'],,0,1,0,17,1982,5.0,
