,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Mel Davis,1973-74,23.0,['NYK' 'TOT' 'NYN'],NBA,PF,62.0,,22.1,3.7,10.4,0.394,,,,,,,,1.2,1.8,0.759,2.0,4.0,5.7,1.4,0.6,0.1,,2.5,8.7,1,25.0,19.0,6.0,3.0,1.0,,,['STJOHNS'],https://www.basketball-reference.com/req/202106291/images/headshots/davisme01.jpg,0,0,0,14,1973
0,Blaine Denning,1952-53,22.0,['BLB'],NBA,,1.0,,9.0,2.0,5.0,0.4,,,,,,,,1.0,1.0,1.0,,,4.0,0.0,,,,3.0,5.0,0,5.0,4.0,,,,,,,,0,0,0,,1952
0,Jalen Duren,2022-23,19.0,['DET'],NBA,C,67.0,31.0,24.9,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,0,30.0,19.0,4.0,3.0,4.0,30.4,,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/durenja01.jpg,0,0,0,13,2022
0,Gabriel Deck,2020-21,25.0,['OKC'],NBA,PF,10.0,0.0,21.2,3.2,6.7,0.571,0.3,1.5,0.5,3.0,5.2,0.6,0.643,1.8,2.2,0.818,1.6,2.4,4.0,2.4,0.8,0.0,0.6,0.9,8.4,0,18.0,10.0,4.0,3.0,,16.3,,,https://www.basketball-reference.com/req/202106291/images/headshots/deckga01.jpg,0,0,0,,
0,Jesse Dark,1974-75,23.0,['NYK'],NBA,SG,47.0,,8.5,1.6,3.3,0.471,,,,,,,,0.5,0.9,0.55,0.3,0.5,0.8,0.6,0.1,0.0,,1.0,3.6,0,13.0,5.0,3.0,1.0,1.0,,,['VCU'],,0,0,0,14,1974
0,Chris Duarte,2021-22,24.0,['IND'],NBA,SG,55.0,39.0,28.0,4.9,11.3,0.432,1.7,4.6,0.369,3.2,6.7,0.475,0.507,1.6,2.0,0.847,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1,0,30.0,9.0,6.0,6.0,2.0,26.6,,['OREGON'],https://www.basketball-reference.com/req/202106291/images/headshots/duartch01.jpg,0,0,0,13,2021
0,Quincy Douby,2006-07,22.0,['SAC' 'TOT' 'TOR'],NBA,PG,74.0,0.0,11.8,1.8,4.5,0.545,0.6,1.9,0.444,1.2,2.9,0.615,0.636,0.7,0.8,0.933,0.4,1.1,1.3,1.7,0.4,0.3,1.0,1.2,4.8,1,32.0,6.0,3.0,3.0,2.0,21.1,,['RUTGERS'],,0,0,0,19,2006
0,Dewayne Dedmon,2013-14,24.0,['TOT' 'GSW' 'PHI' 'ORL' 'SAS' 'ATL' 'SAC' 'MIA'],NBA,C,76.0,52.0,25.1,4.0,8.4,0.708,1.3,3.6,0.5,3.2,5.4,0.75,0.715,1.4,1.8,0.875,2.0,6.8,8.2,1.5,1.1,1.5,1.4,4.0,10.8,1,24.0,17.0,7.0,4.0,6.0,27.7,,['USC'],https://www.basketball-reference.com/req/202106291/images/headshots/dedmode01.jpg,0,0,0,,
0,Hank DeZonie,1950-51,28.0,['TRI'],NBA,,5.0,,,1.2,5.0,0.24,,,,,,,,1.0,1.4,0.714,,,3.6,1.8,,,,1.2,3.4,0,6.0,,,,,,,,,0,0,0,,
0,Gorgui Dieng,2013-14,24.0,['MIN' 'TOT' 'MEM' 'SAS' 'ATL'],NBA,C,82.0,82.0,32.4,4.0,8.1,0.532,1.0,2.6,1.0,3.9,7.5,0.667,0.625,2.6,3.3,0.884,3.1,5.6,8.3,2.0,1.1,1.7,1.7,3.1,10.1,1,25.0,21.0,8.0,5.0,6.0,28.7,,['LOUISVILLE'],https://www.basketball-reference.com/req/202106291/images/headshots/dienggo01.jpg,0,0,0,21,2013
0,Antonio Davis,1990-91,22.0,['IND' 'TOR' 'TOT' 'CHI' 'NYK'],Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),82.0,79.0,38.7,5.3,12.5,0.508,0.0,0.2,0.5,5.3,12.5,0.509,0.508,4.1,5.4,0.818,3.5,6.6,10.1,2.5,0.7,1.9,2.2,3.4,14.5,1,31.0,19.0,8.0,5.0,6.0,30.7,,['UTEP'],https://www.basketball-reference.com/req/202106291/images/headshots/davisan01.jpg,1,0,0,18,1990
0,Dave Deutsch,1966-67,21.0,['NYK'],NBA,,19.0,,4.9,0.3,1.9,0.167,,,,,,,,0.5,1.1,0.45,,,1.1,0.8,,,,0.9,1.1,0,5.0,2.0,3.0,,,,,,,0,0,0,1,1966
0,Mack Daughtry,1970-71,24.0,['CAR'],ABA,,4.0,,10.8,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,1.3,1.3,1.0,0.5,0.8,1.3,0.8,,,0.0,1.0,3.3,0,9.0,2.0,3.0,,,,,,,0,0,0,11,1968
0,Clyde Drexler,1983-84,21.0,['POR' 'TOT' 'HOU'],NBA,SG,82.0,82.0,39.3,10.6,21.4,0.506,2.1,5.9,0.363,10.3,20.1,0.575,0.563,5.9,7.2,0.839,3.7,5.3,7.9,8.0,2.7,0.9,3.8,3.6,27.2,1,50.0,18.0,16.0,10.0,5.0,45.9,25.0,['HOUSTON'],https://www.basketball-reference.com/req/202106291/images/headshots/drexlcl01.jpg,10,1,0,14,1983
0,Aubrey Davis,1946-47,25.0,['STB'],BAA,,59.0,,,1.8,6.5,0.281,,,,,,,,1.2,1.9,0.635,,,,0.2,,,,2.3,4.9,0,15.0,,,,,,,,,0,0,0,,
