,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,Jim Krebs,1957-58,22.0,['MNL' 'LAL'],NBA,C,79.0,,25.8,4.0,9.4,0.445,,,,,,,,2.0,2.7,0.806,,,7.9,1.4,,,,3.7,10.0,0,36.0,19.0,4.0,,,['SMETHODIST'],,0,0,0,3,1957,,
0,Rodions Kurucs,2018-19,20.0,['BRK' 'TOT' 'HOU' 'MIL'],NBA,SF,63.0,46.0,20.5,3.2,7.1,0.625,0.9,2.9,0.75,2.3,4.2,0.543,0.813,1.1,1.5,1.0,0.9,3.0,3.9,1.1,0.7,0.4,1.2,2.3,8.5,1,24.0,12.0,5.0,3.0,18.9,,https://www.basketball-reference.com/req/202106291/images/headshots/kurucro01.jpg,0,0,0,10,2018,3.0,
0,Loyd King,1971-72,22.0,['MMP' 'MMT'],ABA,SG,74.0,,15.6,2.5,6.7,0.374,0.3,1.2,0.241,2.2,5.5,0.403,0.396,1.3,1.6,0.875,0.5,1.0,1.5,1.4,,,1.0,2.3,6.6,0,28.0,6.0,7.0,,,['VATECH'],,0,0,0,8,1971,,
0,Frankie King,1995-96,23.0,['LAL' 'PHI'],NBA,PG,7.0,0.0,8.4,1.0,2.4,0.412,0.1,0.3,0.5,0.9,2.1,0.4,0.441,0.7,0.7,1.0,0.6,1.4,2.0,0.7,0.6,0.0,0.4,1.0,2.9,0,6.0,5.0,2.0,2.0,5.9,['WCAROLINA'],,0,0,0,8,1995,,
0,Lee Knorek,1946-47,25.0,['NYK' 'BLB'],BAA,,60.0,,,2.8,10.0,0.341,,,,,,,,2.2,3.3,0.716,,,,2.3,,,,4.3,7.8,0,24.0,,8.0,,,,,0,0,0,,,,
0,Bart Kofoed,1987-88,23.0,['UTA' 'GSW' 'SEA' 'BOS'],NBA,SG,44.0,0.0,9.3,0.6,1.9,0.472,0.1,0.2,0.286,0.6,1.7,0.522,0.481,1.6,2.0,0.786,0.4,0.5,0.6,1.4,0.5,0.1,0.7,1.2,2.4,0,15.0,5.0,9.0,2.0,18.7,['HASTINGS' 'NEKEARNEY'],,0,0,0,15,1987,1.0,
0,George Karl,1973-74,22.0,['SAA' 'SAS'],ABA,PG,82.0,,19.9,3.2,6.8,0.489,0.1,0.3,0.364,3.1,6.5,0.503,0.493,1.7,2.2,1.0,0.6,1.3,1.9,4.1,1.2,0.1,1.9,2.5,8.1,0,29.0,7.0,13.0,5.0,0.2,['UNC'],,0,0,0,14,1973,1.0,
0,Lari Ketner,1999-00,22.0,['TOT' 'CHI' 'CLE' 'IND'],NBA,PF,22.0,0.0,6.8,0.7,1.7,0.409,0.0,0.0,,0.7,1.7,0.409,0.409,0.4,0.6,1.0,0.8,1.2,1.7,0.3,0.2,0.2,0.7,1.3,1.7,1,6.0,8.0,1.0,2.0,5.6,['UMASS'],,0,0,0,20,1999,1.0,
0,Corey Kispert,2021-22,22.0,['WAS'],NBA,SF,77.0,45.0,28.3,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,0.637,1.0,1.2,0.871,0.7,2.4,2.8,1.2,0.5,0.3,0.7,1.3,11.1,0,29.0,7.0,6.0,3.0,20.8,['GONZAGA'],https://www.basketball-reference.com/req/202106291/images/headshots/kispeco01.jpg,0,0,0,15,2021,2.0,
0,Luke Kornet,2017-18,22.0,['NYK' 'CHI' 'TOT' 'BOS' 'CLE' 'MIL'],NBA,C,69.0,18.0,17.0,2.5,6.3,0.665,1.5,4.2,0.363,1.6,2.3,0.75,0.674,1.0,1.5,0.826,1.2,2.7,3.2,1.3,0.6,1.4,0.6,1.5,7.0,1,25.0,13.0,6.0,5.0,23.7,['VANDY'],https://www.basketball-reference.com/req/202106291/images/headshots/kornelu01.jpg,0,0,0,,,6.0,
0,Wilbur Kirkland,1969-70,,['PTP'],ABA,,2.0,,13.5,1.5,3.5,0.429,0.0,0.0,,1.5,3.5,0.429,0.429,0.0,0.0,,0.5,5.0,5.5,0.5,,,1.0,2.5,3.0,0,6.0,2.0,,,,,,0,0,0,,,,
0,Don Kojis,1963-64,25.0,['BAL' 'DET' 'CHI' 'SDR' 'SEA' 'KCO'],NBA,SF,81.0,,38.6,8.5,19.5,0.48,,,,,,,,5.5,7.4,0.793,1.6,3.3,10.3,2.6,1.0,0.2,,3.8,22.5,0,42.0,20.0,9.0,3.0,,['MARQUETTE'],,2,0,0,4,1961,1.0,
0,Larry Kenon,1973-74,21.0,['NYA' 'SAA' 'SAS' 'CHI' 'TOT' 'GSW' 'CLE'],ABA,PF,84.0,30.0,37.7,9.2,18.4,0.509,0.0,0.1,0.5,9.2,18.4,0.509,0.51,3.8,4.6,0.854,4.5,7.7,11.5,4.1,2.1,0.8,3.7,3.0,22.1,1,51.0,22.0,11.0,11.0,34.7,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/kenonla01.jpg,5,1,0,15,1973,3.0,3.0
0,Kevin Kunnert,1973-74,22.0,['TOT' 'BUF' 'HOU' 'SDC' 'POR'],NBA,C,81.0,0.0,29.2,5.8,11.9,0.512,0.0,0.0,,5.8,11.9,0.512,0.512,1.5,2.4,0.778,3.3,6.5,9.8,1.9,0.7,1.5,2.3,4.5,12.9,1,31.0,23.0,7.0,3.0,29.1,['IOWA'],,0,0,0,12,1973,6.0,
0,Vit Krejci,2021-22,21.0,['OKC' 'ATL'],NBA,SG,30.0,8.0,23.0,2.3,5.6,0.407,1.1,3.3,0.327,1.2,2.3,0.625,0.503,0.6,0.7,0.864,0.6,2.8,3.4,1.9,0.6,0.3,1.0,2.2,6.2,0,16.0,11.0,8.0,3.0,11.9,,https://www.basketball-reference.com/req/202106291/images/headshots/krejcvi01.jpg,0,0,0,7,2020,2.0,
0,Ron King,1973-74,22.0,['KEN'],ABA,SG,9.0,,14.0,2.7,7.8,0.343,0.2,0.7,0.333,2.4,7.1,0.344,0.357,1.6,1.9,0.824,0.9,1.2,2.1,1.6,0.6,0.2,0.8,1.6,7.1,0,19.0,6.0,5.0,,,['FLORIDAST'],,0,0,0,11,1973,,
0,Harold Kottman,1946-47,24.0,['BOS'],BAA,,53.0,,,1.1,3.5,0.314,,,,,,,,0.9,1.9,0.465,,,,0.3,,,,1.1,3.1,0,19.0,,,,,,,0,0,0,,,,
0,Mfiondu Kabengele,2019-20,22.0,['LAC' 'TOT' 'CLE' 'BOS'],NBA,C,39.0,0.0,11.6,1.5,3.6,0.438,0.8,2.0,0.45,0.9,1.6,0.6,0.578,0.7,0.9,1.0,1.3,2.2,2.9,0.8,0.5,0.6,0.6,1.1,4.3,1,14.0,10.0,3.0,2.0,12.4,['FLORIDAST'],https://www.basketball-reference.com/req/202106291/images/headshots/kabenmf01.jpg,0,0,0,27,2019,3.0,
