,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Game Score","Career high, Blocks",Triple-Doubles
0,Lamar Odom,1999-00,20.0,['LAC' 'MIA' 'LAL' 'DAL'],NBA,SF,82.0,80.0,40.3,6.3,14.1,0.53,4.3,5.7,0.777,10.6,5.9,3.8,17.2,0,34.0,22.0,12.0,['RHODEISLE'],https://www.basketball-reference.com/req/202106291/images/headshots/odomla01.jpg,0,2,0,4,1999,1.1,3.3,0.382,5.3,11.5,0.566,0.568,2.6,8.1,1.2,1.6,3.5,6.0,32.7,9.0,12.0
0,Hakeem Olajuwon,1984-85,22.0,['HOU' 'TOR'],NBA,C,82.0,82.0,41.0,11.2,21.5,0.538,5.6,8.0,0.787,14.0,3.6,4.2,27.8,0,52.0,25.0,12.0,['HOUSTON'],https://www.basketball-reference.com/req/202106291/images/headshots/olajuha01.jpg,12,2,1,1,1984,0.1,0.3,0.421,11.1,21.2,0.538,0.538,5.4,10.4,2.6,4.6,3.9,8.0,46.7,12.0,14.0
0,Bud Ogden,1969-70,23.0,['PHI'],NBA,SF,47.0,,7.6,1.7,3.7,0.477,0.7,1.0,0.692,1.8,0.7,1.3,4.1,0,16.0,6.0,3.0,['SANTACLARA'],,0,0,0,2,1968,,,,,,,,,,,,,,,,
0,Chinanu Onuaku,2016-17,20.0,['HOU'],NBA,C,5.0,1.0,22.0,2.0,5.0,0.714,0.8,0.8,1.0,4.0,1.0,4.0,4.0,0,6.0,6.0,1.0,['LOUISVILLE'],https://www.basketball-reference.com/req/202106291/images/headshots/onuakch01.jpg,0,0,0,7,2016,0.0,0.0,,2.0,5.0,0.714,0.714,1.0,3.0,0.6,0.2,3.0,1.0,8.0,1.0,
0,Jim Owens,1973-74,23.0,['PHO'],NBA,SF,41.0,,10.5,1.4,3.5,0.538,0.6,0.8,0.786,1.0,1.2,0.7,3.1,0,12.0,5.0,7.0,['ARIZONAST'],,0,0,0,8,1973,,,,,,,,0.2,0.9,0.4,0.0,,2.0,,1.0,
0,Royce O'Neale,2017-18,24.0,['UTA' 'BRK'],NBA,SF,82.0,77.0,31.7,3.0,7.8,0.475,0.9,1.1,0.848,6.8,3.7,3.1,8.8,0,20.0,15.0,11.0,['DENVER' 'BAYLOR'],https://www.basketball-reference.com/req/202106291/images/headshots/onealro01.jpg,0,0,0,,,2.1,5.5,0.389,1.2,2.4,0.609,0.591,1.2,5.6,1.1,0.6,1.5,6.0,23.3,4.0,1.0
0,Johnny Orr,1949-50,22.0,['TOT' 'STB' 'WAT'],NBA,,34.0,,,1.8,5.5,0.362,0.5,0.5,0.857,,1.1,1.2,4.0,1,12.0,,3.0,,,0,0,0,5,1948,,,,,,,,,,,,,,,,
0,Olumide Oyedeji,2000-01,19.0,['SEA' 'ORL'],NBA,C,36.0,3.0,7.4,0.6,1.2,0.537,0.3,0.5,0.75,2.2,0.2,1.3,1.5,0,10.0,14.0,2.0,,,0,0,0,13,2000,0.0,0.0,,0.6,1.2,0.537,0.537,0.8,1.5,0.2,0.3,0.4,2.0,9.7,2.0,
0,Daniel Oturu,2020-21,21.0,['LAC' 'TOR'],NBA,C,30.0,0.0,9.0,1.0,2.0,0.5,1.0,1.7,0.75,1.7,0.3,0.8,3.0,0,13.0,12.0,2.0,['MINNESOTA'],https://www.basketball-reference.com/req/202106291/images/headshots/oturuda01.jpg,0,0,0,3,2020,0.0,0.3,0.2,1.0,1.7,0.6,0.5,0.7,1.3,0.1,0.7,0.3,2.0,7.6,2.0,
0,Josh Okogie,2018-19,20.0,['MIN' 'PHO'],NBA,SG,74.0,52.0,25.0,2.7,6.9,0.427,2.5,3.1,0.796,4.3,1.6,2.2,8.6,0,28.0,11.0,6.0,['GATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/okogijo01.jpg,0,0,0,20,2018,0.9,2.9,0.335,2.1,4.0,0.529,0.479,1.5,2.9,1.2,0.5,1.4,5.0,26.1,4.0,
