,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Kendall Gill,1990-91,22.0,['CHH' 'SEA' 'TOT' 'NJN' 'MIA' 'MIN' 'CHI' 'MIL'],NBA,SG,82.0,81.0,39.0,8.4,18.1,0.481,0.9,2.7,0.368,8.4,17.7,0.509,0.504,5.2,6.5,0.9,2.2,3.9,6.1,6.3,2.7,0.8,3.1,3.3,21.8,1,41.0,13.0,12.0,11.0,6.0,38.7,3.0,['ILLINOIS'],https://www.basketball-reference.com/req/202106291/images/headshots/gillke01.jpg,0,0,0,5,1990
0,Tom Garrick,1988-89,22.0,['LAC' 'TOT' 'SAS' 'MIN' 'DAL'],NBA,SG,73.0,22.0,23.6,2.8,5.8,0.494,0.1,0.3,0.5,2.8,5.5,0.51,0.499,1.4,1.8,1.0,0.6,1.8,2.2,4.0,1.3,0.2,1.6,2.1,7.0,1,23.0,8.0,18.0,5.0,2.0,29.7,,['RHODEISLE'],,0,0,0,20,1988
0,Dennis Grey,1968-69,21.0,['LAS' 'NYA'],ABA,C,58.0,,22.7,3.2,7.6,0.419,0.0,0.0,0.0,3.2,7.6,0.42,0.419,2.7,5.0,0.538,2.8,3.6,6.3,0.9,,,2.2,3.8,9.1,0,31.0,12.0,2.0,,,,,,,0,0,0,,
0,Rudy Gay,2006-07,20.0,['MEM' 'TOT' 'TOR' 'SAC' 'SAS' 'UTA'],NBA,SF,81.0,81.0,39.9,7.7,18.6,0.504,1.7,4.8,0.402,6.7,15.3,0.537,0.554,5.0,5.8,0.882,2.0,5.9,7.4,3.7,1.7,1.3,3.3,2.9,21.1,1,41.0,15.0,10.0,6.0,6.0,35.2,,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/gayru01.jpg,0,0,0,8,2006
0,Gorham Getchell,1946-47,26.0,['PIT'],BAA,,16.0,,,0.0,0.5,0.0,,,,,,,,0.3,0.3,1.0,,,,0.0,,,,0.3,0.3,0,3.0,,,,,,,,,0,0,0,,
0,Frank Gates,1949-50,29.0,['AND'],NBA,,64.0,,,1.8,6.3,0.281,,,,,,,,1.0,1.5,0.622,,,,1.4,,,,2.3,4.5,0,15.0,,4.0,,,,,,,0,0,0,,
0,George Glamack,1948-49,30.0,['INJ'],BAA,,11.0,,,2.7,11.0,0.248,,,,,,,,3.8,5.0,0.764,,,,1.7,,,,2.5,9.3,0,25.0,,1.0,,,,,['UNC'],,0,0,0,,
0,Dick Groat,1952-53,22.0,['FTW'],NBA,PG,26.0,,25.5,3.8,10.5,0.368,,,,,,,,4.2,5.3,0.79,,,3.3,2.7,,,,3.5,11.9,0,25.0,,5.0,,,,,['DUKE'],,0,0,0,3,1952
0,Hoot Gibson,1949-50,28.0,['TOT' 'BOS' 'WAT'],NBA,,32.0,,,2.1,6.4,0.75,,,,,,,,1.4,2.0,0.683,,,,1.2,,,,3.4,5.6,1,18.0,,2.0,,,,,,,0,0,0,,
0,Ed Gayda,1950-51,23.0,['TRI'],NBA,,15.0,,,1.3,3.1,0.413,,,,,,,,1.2,1.6,0.75,,,2.6,0.9,,,,2.3,3.7,0,9.0,,2.0,,,,,['WASHST'],,0,0,0,4,1950
