,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Brent Price,1992-93,24.0,['WSB' 'HOU' 'VAN' 'SAC'],NBA,PG,81.0,50.0,25.2,3.1,6.6,0.483,2.1,2.4,1.0,2.8,5.1,2.3,10.0,0,30.0,9.0,14.0,['SCAROLINA' 'OKLAHOMA'],,0,0,0,5,1992,1.7,3.7,0.462,1.4,3.4,0.568,0.602,0.5,2.3,1.0,0.1,1.9,5.0,2.0,32.3,
0,Bud Palmer,1946-47,25.0,['NYK'],BAA,,58.0,,,4.7,14.8,0.35,4.0,5.3,0.762,,1.9,3.6,13.0,0,30.0,,3.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Chris Porter,2000-01,22.0,['GSW'],NBA,SF,51.0,35.0,22.5,3.4,8.7,0.389,1.8,2.8,0.667,3.7,1.2,2.2,8.6,0,24.0,11.0,5.0,['AUBURN'],,0,0,0,26,2000,0.0,0.1,0.0,3.4,8.6,0.393,0.389,1.7,2.0,0.9,0.1,1.2,4.0,2.0,20.8,
0,Žarko Paspalj,1989-90,23.0,['SAS'],NBA,SF,28.0,1.0,6.5,1.0,2.8,0.342,0.6,0.8,0.818,1.1,0.4,1.3,2.6,0,13.0,4.0,1.0,,,0,0,0,,,0.0,0.0,0.0,1.0,2.8,0.346,0.342,0.5,0.5,0.1,0.3,0.8,1.0,2.0,6.9,
0,Don Putman,1946-47,24.0,['STB'],BAA,,59.0,,,2.7,10.9,0.297,1.4,2.0,0.679,,2.4,2.3,6.6,0,18.0,,2.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Jerry Paulson,1957-58,22.0,['CIN'],NBA,,6.0,,11.3,1.3,3.8,0.348,0.7,1.0,0.667,1.7,0.7,0.8,3.3,0,5.0,4.0,,['MANHATTAN'],,0,0,0,1,1957,,,,,,,,,,,,,,,,
0,Chuck Person,1986-87,22.0,['IND' 'MIN' 'SAS' 'CHH' 'SEA'],NBA,SF,82.0,81.0,38.3,8.9,18.2,0.504,3.0,3.8,0.792,8.3,4.7,3.8,21.6,0,47.0,18.0,11.0,['AUBURN'],,0,0,0,4,1986,2.4,5.8,0.41,8.1,15.6,0.536,0.572,2.2,6.2,1.1,0.4,3.9,6.0,3.0,39.3,2.0
0,Dražen Petrović,1986-87,22.0,['POR' 'TOT' 'NJN'],Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),82.0,82.0,38.0,8.4,16.2,0.518,4.5,5.2,0.87,3.1,3.5,3.4,22.3,1,44.0,9.0,9.0,,,0,0,0,13,1986,1.5,3.4,0.459,7.3,13.8,0.529,0.555,1.2,2.1,1.3,0.2,2.9,6.0,2.0,33.0,
0,Mark Pope,1997-98,25.0,['IND' 'MIL' 'DEN'],NBA,SF,63.0,45.0,15.0,1.0,2.3,0.5,0.4,0.6,0.629,2.3,0.6,2.2,2.4,0,10.0,7.0,3.0,['WASHINGTON' 'KENTUCKY'],,0,0,0,23,1996,0.1,1.0,0.333,0.9,1.9,0.5,0.5,0.9,1.4,0.3,0.4,0.8,2.0,4.0,9.9,
0,Jontay Porter,2020-21,21.0,['MEM'],NBA,PF,11.0,0.0,4.9,0.7,1.4,0.533,0.3,0.5,0.6,1.3,0.1,1.1,2.0,0,7.0,4.0,1.0,['MISSOURI'],https://www.basketball-reference.com/req/202106291/images/headshots/portejo01.jpg,0,0,0,,,0.3,0.7,0.375,0.5,0.6,0.714,0.633,0.4,0.9,0.3,0.1,0.6,2.0,1.0,6.7,
