,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,STL,"Career high, Steals",Triple-Doubles,"Career high, Blocks","Career high, Game Score"
0,D.J. White,2008-09,22.0,['OKC' 'TOT' 'CHA' 'BOS'],NBA,PF,58.0,11.0,19.4,3.7,7.1,0.61,0.0,0.1,1.0,3.7,7.1,0.61,0.61,1.7,2.3,0.9,1.4,3.1,4.6,0.9,0.7,0.7,1.9,8.9,1,21.0,11.0,3.0,['INDIANA'],https://www.basketball-reference.com/req/202106291/images/headshots/whitedj01.jpg,0,0,0,29,2008,0.5,2.0,,4.0,19.1
0,D.J. Wilson,2017-18,21.0,['MIL' 'TOT' 'HOU' 'TOR'],NBA,PF,48.0,3.0,18.4,2.8,5.4,0.733,1.0,2.6,0.4,2.8,3.3,0.846,0.733,2.0,2.5,0.8,0.9,3.8,4.6,1.3,0.5,0.8,1.8,7.5,1,25.0,17.0,5.0,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/wilsodj01.jpg,0,0,0,17,2017,1.3,5.0,,3.0,22.3
0,Earl Williams,1974-75,23.0,['PHO' 'DET' 'NYN' 'BOS'],NBA,C,79.0,,13.7,2.7,6.2,0.48,,,,,,,,3.0,6.0,0.583,2.2,3.8,5.8,1.2,1.0,1.0,2.1,6.1,0,27.0,25.0,7.0,,,0,0,0,13,1974,0.6,4.0,,2.0,20.8
0,Marcus Williams,2006-07,21.0,['NJN' 'GSW' 'MEM'],NBA,PG,79.0,7.0,16.6,2.6,6.7,0.395,1.0,2.7,0.38,2.1,4.6,0.446,0.471,0.9,1.1,0.847,0.4,1.7,2.1,3.3,0.1,1.8,1.2,6.8,0,27.0,8.0,13.0,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/willima03.jpg,0,0,0,22,2006,0.5,4.0,,2.0,20.4
0,Corey Williams,1992-93,22.0,['CHI' 'MIN'],NBA,PG,35.0,0.0,11.5,1.3,3.3,0.385,0.0,0.3,0.333,1.3,3.0,0.417,0.385,0.5,0.6,1.0,0.5,1.3,1.5,1.5,0.1,0.5,1.5,2.8,0,10.0,4.0,5.0,['OKSTATE'],,0,1,0,6,1992,0.5,2.0,,1.0,5.3
0,Andy Walker,1976-77,21.0,['NOJ'],NBA,SF,40.0,,11.0,1.8,3.9,0.462,,,,,,,,0.9,1.2,0.766,0.6,1.3,1.9,0.8,0.2,,1.5,4.5,0,17.0,8.0,5.0,['NIAGARA'],,0,0,0,7,1976,0.5,3.0,,2.0,
0,Isaiah Whitehead,2016-17,21.0,['BRK'],NBA,PG,73.0,26.0,22.5,2.8,7.0,0.465,0.6,2.0,0.389,2.2,4.9,0.485,0.506,1.2,1.5,0.805,0.4,2.1,2.5,2.6,0.5,1.9,2.4,7.4,0,24.0,10.0,8.0,['SETONHALL'],https://www.basketball-reference.com/req/202106291/images/headshots/whiteis01.jpg,0,0,0,12,2016,0.6,4.0,,3.0,14.9
0,Jim Wilson,1970-71,,['PTC'],ABA,,6.0,,7.3,0.2,1.3,0.125,0.0,0.0,,0.2,1.3,0.125,0.125,0.7,1.0,0.667,0.2,0.8,1.0,1.3,,0.8,0.5,1.0,0,2.0,,,,,0,0,0,11,1970,,,,,
0,John Warren,1969-70,22.0,['NYK' 'CLE'],NBA,SG,82.0,,31.8,4.6,11.0,0.486,,,,,,,,2.2,2.6,0.947,0.6,1.2,4.2,4.2,0.1,,3.6,11.5,0,27.0,12.0,13.0,['STJOHNS'],,0,1,0,11,1969,0.4,3.0,,1.0,
0,Jimmy Walker,1967-68,23.0,['DET' 'HOU' 'TOT' 'KCO' 'KCK'],NBA,SG,81.0,,40.6,8.2,17.8,0.583,,,,,,,,5.1,6.2,0.884,0.7,2.3,3.3,5.5,0.2,,2.7,21.3,1,44.0,11.0,12.0,['PROVIDENCE'],,2,0,0,1,1967,1.2,4.0,,2.0,
