,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Carlos Terry,1980-81,24.0,['WSB'],NBA,SG,55.0,3.0,19.4,3.1,6.2,0.5,1.1,1.6,0.75,4.5,2.7,2.6,7.2,0,16.0,10.0,6.0,['WINSTSALST'],,0,0,0,16,1978,0.0,0.2,0.0,3.1,5.9,0.519,0.5,1.7,2.8,1.0,0.5,2.2,3.0,2.0,9.3,
0,Jack Turner,1954-55,24.0,['NYK'],NBA,SF,65.0,,14.2,1.7,4.7,0.36,0.9,1.2,0.789,2.4,1.2,1.2,4.3,0,18.0,5.0,5.0,['WKENTUCKY'],,0,0,0,8,1954,,,,,,,,,,,,,,,,
0,Mychal Thompson,1978-79,24.0,['POR' 'TOT' 'SAS' 'LAL'],NBA,C,82.0,80.0,39.6,8.6,16.5,0.559,3.9,5.7,0.743,11.7,4.8,3.7,20.8,1,38.0,22.0,11.0,['MINNESOTA'],https://www.basketball-reference.com/req/202106291/images/headshots/thompmy01.jpg,0,2,0,1,1978,0.0,0.0,1.0,8.6,16.5,0.56,0.559,3.3,8.4,1.1,2.2,3.5,5.0,9.0,33.7,2.0
0,Ray Tolbert,1981-82,23.0,['TOT' 'NJN' 'SEA' 'DET' 'NYK' 'LAL' 'ATL'],NBA,PF,73.0,2.0,16.1,2.2,4.4,0.571,1.0,2.1,0.769,3.4,0.7,2.3,5.1,1,20.0,13.0,5.0,['INDIANA'],,0,0,0,18,1981,0.0,0.1,0.0,2.2,4.4,0.571,0.571,1.3,2.3,0.5,0.8,1.1,3.0,4.0,15.6,
0,Cezary Trybański,2002-03,23.0,['MEM' 'TOT' 'PHO' 'NYK'],NBA,C,15.0,0.0,5.7,0.3,1.3,0.25,0.3,0.7,0.5,0.9,0.1,0.9,0.9,1,5.0,5.0,1.0,,,0,0,0,,,0.0,0.0,,0.3,1.3,0.25,0.25,0.4,0.5,0.3,0.4,0.5,1.0,2.0,4.7,
0,George Tinsley,1969-70,23.0,['TOT' 'WSA' 'KEN' 'FLO'],ABA,SF,82.0,,18.4,2.2,5.2,0.433,2.1,2.8,0.75,4.2,1.0,2.5,6.6,1,23.0,10.0,3.0,,,0,0,0,5,1969,0.1,0.4,0.227,2.2,5.1,0.439,0.434,1.9,2.3,,,1.2,,,,
0,Joe Thomas,1970-71,22.0,['PHO'],NBA,SF,39.0,,5.2,0.6,2.2,0.267,0.2,0.5,0.45,1.1,0.4,0.5,1.4,0,10.0,5.0,2.0,['MARQUETTE'],,0,0,0,10,1970,,,,,,,,,,,,,,,,
0,Evan Turner,2010-11,22.0,['PHI' 'TOT' 'IND' 'BOS' 'POR' 'ATL'],NBA,SG,82.0,82.0,35.3,6.6,15.4,0.46,3.5,4.2,0.857,6.3,5.5,2.7,17.4,1,34.0,15.0,13.0,['OHIOST'],https://www.basketball-reference.com/req/202106291/images/headshots/turneev01.jpg,0,0,0,2,2010,0.7,2.4,0.5,5.9,12.9,0.494,0.484,0.9,5.6,1.0,0.4,2.9,5.0,4.0,25.5,5.0
0,Tim Thomas,1997-98,20.0,['PHI' 'TOT' 'MIL' 'NYK' 'CHI' 'PHO' 'LAC' 'DAL'],NBA,SF,80.0,70.0,32.0,5.7,12.6,0.495,3.3,4.0,0.875,5.1,2.7,3.2,15.8,1,39.0,13.0,8.0,['VILLANOVA'],https://www.basketball-reference.com/req/202106291/images/headshots/thomati01.jpg,0,0,0,7,1997,1.8,4.7,0.442,4.6,10.0,0.546,0.564,1.4,4.1,1.0,0.6,1.8,4.0,4.0,30.2,
0,Edy Tavares,2015-16,23.0,['ATL' 'TOT' 'CLE'],NBA,C,11.0,0.0,24.0,3.0,4.0,1.0,0.3,2.0,0.375,10.0,1.0,3.0,6.0,1,6.0,10.0,1.0,,https://www.basketball-reference.com/req/202106291/images/headshots/tavarwa01.jpg,0,0,0,13,2014,0.0,0.0,,3.0,4.0,1.0,1.0,4.0,6.0,0.1,6.0,2.0,1.0,6.0,10.3,
0,Collis Temple,1974-75,22.0,['SAA'],ABA,SF,24.0,,4.3,0.7,1.7,0.415,0.3,0.4,0.8,1.3,0.6,1.2,1.8,0,8.0,3.0,3.0,['LSU'],,0,0,0,4,1974,0.0,0.0,0.0,0.7,1.7,0.425,0.415,0.6,0.7,0.2,0.2,0.5,2.0,1.0,,
