,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,ORB,DRB,STL,BLK,TOV,"Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",3P,3PA,3P%,2P,2PA,2P%,eFG%,"Career high, Blocks",Triple-Doubles
0,Iman Shumpert,2011-12,21.0,['NYK' 'TOT' 'CLE' 'SAC' 'HOU' 'BRK'],NBA,PG,76.0,58.0,28.9,3.7,9.1,0.411,1.5,1.8,0.829,4.2,3.3,2.9,9.5,1,27.0,['GATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/shumpim01.jpg,0,1,0,17,2011,1.1,3.2,1.7,0.5,1.9,16.0,9.0,6.0,25.4,1.8,4.8,0.402,2.8,6.4,1.0,0.507,2.0,
0,Brent Scott,1996-97,25.0,['IND'],NBA,PF,16.0,0.0,3.4,0.5,1.1,0.471,0.2,0.4,0.5,0.6,0.2,0.9,1.2,0,6.0,['RICE'],,0,0,0,,,0.2,0.4,0.1,0.1,0.3,3.0,1.0,1.0,3.8,0.0,0.0,,0.5,1.1,0.471,0.471,1.0,
0,James Singleton,2005-06,24.0,['LAC' 'DAL' 'TOT' 'WAS'],NBA,SF,62.0,10.0,23.9,3.4,6.3,0.547,1.5,1.8,1.0,6.9,1.3,2.6,8.2,1,23.0,['MURRAYST'],https://www.basketball-reference.com/req/202106291/images/headshots/singlja01.jpg,0,0,0,,,2.8,4.7,0.8,1.1,1.2,21.0,5.0,3.0,23.0,0.2,0.9,0.5,3.3,5.5,0.591,0.56,4.0,
0,Josh Selby,2011-12,20.0,['MEM'],NBA,PG,28.0,0.0,8.5,0.9,2.6,0.347,0.7,1.1,0.786,0.5,1.1,0.7,2.3,0,10.0,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/selbyjo01.jpg,0,0,0,19,2011,0.1,0.5,0.3,0.0,1.0,3.0,7.0,2.0,8.7,0.1,0.6,0.167,0.8,2.0,0.404,0.361,,
0,Lee Shaffer,1961-62,22.0,['SYR' 'PHI'],NBA,SF,80.0,,29.9,7.5,17.4,0.436,3.7,4.7,0.784,6.8,1.3,3.5,18.6,0,42.0,['UNC'],,1,0,0,5,1960,,,,,,18.0,5.0,,,,,,,,,,,
0,Tre Scott,2021-22,25.0,['CLE'],NBA,SF,2.0,0.0,5.5,1.5,3.0,0.5,0.0,0.0,,1.0,0.0,1.0,3.0,0,6.0,['CINCY'],,0,0,0,,,0.5,0.5,0.5,0.5,0.0,2.0,,1.0,4.9,0.0,0.5,0.0,1.5,2.5,0.6,0.5,1.0,
0,Jabari Smith,2000-01,23.0,['SAC' 'TOT' 'PHI' 'NJN'],NBA,C,45.0,2.0,14.4,1.8,3.8,0.5,1.4,1.8,0.75,2.5,0.8,2.3,5.0,1,19.0,['LSU'],,0,0,0,16,2000,0.6,1.8,0.6,0.3,0.9,8.0,6.0,4.0,18.9,0.0,0.2,0.5,1.8,3.6,0.5,0.5,3.0,
0,Paul Silas,1964-65,21.0,['STL' 'ATL' 'PHO' 'BOS' 'DEN' 'SEA'],NBA,PF,82.0,,38.5,6.1,12.9,0.47,5.4,7.0,0.783,13.0,4.3,3.4,17.5,0,31.0,['CREIGHTON'],,2,3,0,3,1964,4.5,8.3,0.8,0.4,1.9,27.0,13.0,5.0,17.2,0.0,0.0,,6.1,12.9,0.47,0.47,3.0,1.0
0,Paul Shirley,2002-03,25.0,['ATL' 'CHI' 'PHO'],NBA,PF,9.0,0.0,12.3,1.4,3.3,0.455,0.2,0.4,0.5,2.3,0.6,1.3,3.0,0,6.0,['IOWAST'],,0,0,0,,,1.1,1.1,0.1,0.1,1.3,5.0,2.0,1.0,6.9,0.0,0.1,0.0,1.4,3.1,0.455,0.455,1.0,
0,Erick Strickland,1996-97,23.0,['DAL' 'TOT' 'NYK' 'VAN' 'BOS' 'IND' 'MIL'],NBA,SG,79.0,67.0,29.8,4.6,10.7,0.433,2.4,2.9,0.863,4.8,3.1,2.8,12.8,1,36.0,['NEBRASKA'],,0,0,0,,,1.0,3.7,1.5,0.2,2.4,11.0,11.0,7.0,31.8,1.2,3.3,0.439,3.6,8.0,0.459,0.511,2.0,
0,John Schweitz,1984-85,24.0,['SEA' 'DET'],NBA,SG,19.0,0.0,5.8,1.3,3.9,0.338,0.4,0.5,0.7,1.1,0.9,0.7,3.0,0,11.0,['RICHMOND'],,0,0,0,23,1982,0.3,0.8,0.0,0.1,0.7,4.0,4.0,,8.1,0.0,0.2,0.0,1.3,3.7,0.357,0.338,1.0,
0,Dave Stallworth,1965-66,24.0,['NYK' 'TOT' 'BAL' 'CAP'],NBA,SF,82.0,,28.4,5.0,10.8,0.466,3.2,4.7,0.855,6.2,2.3,3.0,13.0,1,35.0,['WICHITAST'],,0,1,0,5,1965,1.2,2.0,0.6,0.4,,19.0,8.0,3.0,,,,,,,,,1.0,
0,Joe Stephens,1996-97,24.0,['HOU' 'VAN'],NBA,PF,13.0,0.0,13.9,1.5,4.0,0.373,0.6,0.9,0.75,2.8,0.8,1.5,3.9,0,10.0,['COLORADO' 'ARKANSASLR'],,0,0,0,,,1.0,1.8,1.5,0.2,1.5,7.0,2.0,2.0,9.2,0.5,1.5,0.333,1.5,3.3,0.442,0.411,1.0,
0,Ben Schadler,1947-48,23.0,['CHS'],BAA,,37.0,,,0.6,3.1,0.198,0.3,0.4,0.769,,0.2,1.1,1.5,0,6.0,,,0,0,0,,1947,,,,,,,,,,,,,,,,,,
0,Wayne Simien,2005-06,22.0,['MIA'],NBA,PF,43.0,2.0,11.6,1.3,2.9,0.483,0.7,0.9,0.882,2.0,0.5,1.6,3.4,0,10.0,['KANSAS'],,0,1,0,29,2005,0.9,1.2,0.3,0.0,0.6,6.0,2.0,2.0,8.8,0.0,0.0,,1.3,2.9,0.483,0.483,1.0,
