,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Mikal Bridges,2018-19,22.0,['PHO' 'TOT' 'BRK'],NBA,SF,83.0,83.0,36.4,8.9,18.6,0.543,2.5,6.7,0.425,6.3,11.9,0.647,0.643,5.9,6.6,0.897,1.1,3.6,4.5,3.6,1.6,0.9,1.8,2.5,26.1,1,45.0,11.0,9.0,7.0,4.0,42.1,['VILLANOVA'],https://www.basketball-reference.com/req/202106291/images/headshots/bridgmi01.jpg,0,0,0,10,2018,
0,Charles Bradley,1981-82,22.0,['BOS' 'SEA'],NBA,SG,51.0,5.0,10.4,1.4,3.5,0.451,0.0,0.1,0.0,1.4,3.4,0.455,0.451,0.9,1.8,0.714,0.6,0.9,1.5,0.6,0.6,0.5,1.0,1.6,3.6,0,14.0,5.0,3.0,4.0,3.0,12.5,['WYOMING'],,0,0,0,23,1981,
0,Alex Bradley,1981-82,22.0,['NYK'],NBA,SF,39.0,0.0,8.5,1.4,2.6,0.524,0.0,0.0,0.0,1.4,2.6,0.529,0.524,0.7,1.2,0.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5,0,17.0,6.0,2.0,3.0,2.0,11.2,['VILLANOVA'],,0,0,0,17,1981,
0,Gus Bailey,1974-75,23.0,['HOU' 'NOJ' 'WSB'],NBA,SG,48.0,,9.5,1.2,3.5,0.457,0.1,0.1,1.0,1.2,3.5,0.441,0.471,0.8,1.4,0.552,1.0,1.3,1.7,1.4,0.5,0.3,0.7,1.1,3.2,0,20.0,10.0,7.0,4.0,3.0,11.4,['UTEP'],,0,0,0,5,1974,
0,Price Brookfield,1948-49,28.0,['INJ' 'ROC'],BAA,,54.0,,,3.3,11.8,0.478,,,,,,,,1.7,2.3,0.923,,,,2.5,,,,2.7,8.2,0,22.0,,2.0,,,,,,0,0,0,,,
0,Keith Booth,1997-98,23.0,['CHI'],NBA,SF,39.0,4.0,11.1,1.3,3.9,0.333,0.0,0.3,0.1,1.2,3.6,0.4,0.333,1.0,1.1,1.0,0.6,1.7,2.4,1.0,0.6,0.3,1.0,1.5,3.1,0,16.0,9.0,6.0,3.0,3.0,19.5,['MARYLAND'],https://www.basketball-reference.com/req/202106291/images/headshots/boothke01.jpg,0,1,0,28,1997,
0,Em Bryant,1964-65,26.0,['NYK' 'BOS' 'BUF'],NBA,PG,80.0,,29.3,3.9,9.4,0.472,,,,,,,,2.1,2.8,0.746,,,4.3,4.8,,,,3.7,10.0,0,39.0,16.0,12.0,,,,,,0,1,0,1,1964,
0,Jerry Baskerville,1975-76,24.0,['PHI'],NBA,SF,21.0,,5.0,0.4,1.2,0.308,,,,,,,,0.5,0.8,0.625,0.6,0.7,1.3,0.1,0.3,0.2,,1.5,1.2,0,4.0,9.0,1.0,1.0,,,['UNLV' 'TEMPLE'],,0,0,0,,,
0,Jud Buechler,1990-91,22.0,['NJN' 'TOT' 'SAS' 'GSW' 'CHI' 'DET' 'PHO' 'ORL'],NBA,SF,76.0,10.0,21.1,2.5,5.8,0.5,1.2,3.0,0.444,2.2,4.9,0.556,0.571,0.9,1.2,0.75,1.2,2.1,2.8,1.3,1.0,0.5,0.8,1.7,6.2,1,19.0,12.0,6.0,4.0,3.0,18.0,['ARIZONA'],https://www.basketball-reference.com/req/202106291/images/headshots/buechju01.jpg,0,3,0,11,1990,
0,Walt Byrd,1969-70,,['MMF'],ABA,PF,22.0,,5.0,0.6,2.0,0.326,0.0,0.0,0.0,0.6,1.9,0.333,0.326,0.2,0.8,0.294,0.4,0.8,1.1,0.3,,,0.4,1.0,1.5,0,12.0,6.0,,,,,['TEMPLE'],,0,0,0,,,
0,MarShon Brooks,2011-12,23.0,['NJN' 'BRK' 'TOT' 'BOS' 'GSW' 'LAL' 'MEM'],NBA,SG,73.0,47.0,29.4,7.3,14.6,0.5,2.7,4.6,0.594,4.6,10.0,0.53,0.593,2.9,3.3,0.87,1.3,2.3,3.6,3.6,1.6,0.4,2.3,2.1,20.1,1,27.0,10.0,7.0,3.0,2.0,22.4,['PROVIDENCE'],https://www.basketball-reference.com/req/202106291/images/headshots/brookma01.jpg,0,0,0,25,2011,
0,Art Becker,1967-68,26.0,['HSM' 'INA' 'TOT' 'DNR' 'NYA' 'DLC'],ABA,PF,84.0,,35.4,7.4,15.8,0.583,0.1,0.2,0.667,7.4,15.7,0.6,0.583,3.9,4.8,1.0,3.3,6.1,9.4,1.3,,,2.0,4.2,18.8,1,37.0,16.0,6.0,,,,['ARIZONAST'],,2,1,0,6,1964,
0,Marques Bragg,1995-96,25.0,['MIN'],NBA,PF,53.0,0.0,7.0,1.0,2.3,0.45,0.0,0.0,,1.0,2.3,0.45,0.45,0.4,0.8,0.561,0.7,0.8,1.5,0.2,0.3,0.2,0.5,1.3,2.5,0,13.0,7.0,1.0,2.0,2.0,11.7,['PROVIDENCE'],,0,0,0,,,
0,Amida Brimah,2020-21,26.0,['IND'],NBA,C,5.0,0.0,5.8,1.0,1.6,0.625,0.0,0.0,,1.0,1.6,0.625,0.625,0.6,0.6,1.0,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6,0,7.0,4.0,1.0,,2.0,7.3,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/brimaam01.jpg,0,0,0,,,
0,Evers Burns,1993-94,22.0,['SAC'],NBA,PF,23.0,0.0,6.2,1.0,2.4,0.4,0.0,0.0,,1.0,2.4,0.4,0.4,0.5,1.0,0.522,0.6,0.7,1.3,0.4,0.3,0.1,0.3,1.4,2.4,0,12.0,5.0,2.0,1.0,1.0,10.1,['MARYLAND'],,0,0,0,4,1993,
0,Norm Baker,1946-47,23.0,['CHS'],BAA,,4.0,,,0.0,0.3,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,0,,,,,,,,,0,0,0,,,
0,Trevor Booker,2010-11,23.0,['WAS' 'UTA' 'BRK' 'TOT' 'PHI' 'IND'],NBA,PF,79.0,45.0,25.2,4.3,8.3,0.56,0.4,1.1,0.5,4.1,7.7,0.578,0.569,1.3,2.4,0.909,2.4,6.0,8.0,2.1,1.1,0.9,1.8,2.8,10.1,1,36.0,19.0,6.0,4.0,6.0,35.2,['CLEMSON'],https://www.basketball-reference.com/req/202106291/images/headshots/booketr01.jpg,0,0,0,23,2010,
0,Marcus Banks,2003-04,22.0,['BOS' 'TOT' 'MIN' 'PHO' 'MIA' 'TOR'],NBA,PG,81.0,29.0,30.7,4.7,9.7,0.534,1.3,3.1,0.405,4.3,8.6,0.653,0.604,2.3,2.9,0.9,0.5,2.4,2.9,4.7,1.2,0.4,2.4,3.1,12.0,1,28.0,7.0,10.0,7.0,2.0,25.4,['UNLV'],https://www.basketball-reference.com/req/202106291/images/headshots/banksma01.jpg,0,0,0,13,2003,
0,Brandon Boston Jr.,2021-22,20.0,['LAC'],NBA,SG,51.0,1.0,14.9,2.5,6.4,0.418,0.7,2.2,0.414,1.8,4.2,0.425,0.467,1.3,1.7,0.819,0.3,1.8,2.2,1.0,0.5,0.3,0.6,1.0,6.7,0,27.0,7.0,5.0,4.0,2.0,23.3,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/bostobr01.jpg,0,0,0,21,2021,
0,Donnie Boyce,1995-96,22.0,['ATL'],NBA,SG,22.0,2.0,7.0,1.1,2.9,0.391,0.5,1.0,0.5,0.9,2.1,0.404,0.478,0.5,1.0,0.5,0.6,0.6,1.3,0.6,0.5,0.2,0.8,0.8,3.0,0,8.0,4.0,2.0,3.0,3.0,7.7,['COLORADO'],,0,0,0,13,1995,
0,Chris Babb,2013-14,23.0,['BOS'],NBA,SG,14.0,0.0,9.4,0.6,2.1,0.267,0.4,1.9,0.222,0.1,0.2,0.667,0.367,0.0,0.0,,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,1.6,0,6.0,5.0,1.0,5.0,,4.2,['PENNST' 'IOWAST'],https://www.basketball-reference.com/req/202106291/images/headshots/babbch01.jpg,0,0,0,,,
0,Miles Bridges,2018-19,20.0,['CHO'],NBA,SF,80.0,80.0,35.5,7.5,15.2,0.503,1.9,5.8,0.4,5.5,9.4,0.593,0.596,3.3,4.2,0.867,1.4,5.9,7.0,3.8,0.9,0.8,1.9,2.4,20.2,0,38.0,16.0,11.0,4.0,4.0,36.6,['MICHIGANST'],https://www.basketball-reference.com/req/202106291/images/headshots/bridgmi02.jpg,0,0,0,12,2018,
0,Michael Beasley,2008-09,20.0,['MIA' 'MIN' 'PHO' 'HOU' 'MIL' 'NYK' 'LAL'],NBA,PF,81.0,78.0,32.3,7.7,17.1,0.532,0.8,2.2,0.419,6.9,14.8,0.545,0.554,3.0,4.0,0.8,1.6,4.8,6.4,2.2,1.0,0.7,2.7,3.0,19.2,0,42.0,16.0,9.0,5.0,4.0,28.8,['KANSASST'],https://www.basketball-reference.com/req/202106291/images/headshots/beaslmi01.jpg,0,0,0,2,2008,
0,Steve Bucknall,1989-90,23.0,['LAL'],NBA,SG,18.0,0.0,4.2,0.5,1.8,0.273,0.0,0.1,0.0,0.5,1.8,0.281,0.273,0.3,0.3,0.833,0.3,0.1,0.4,0.6,0.1,0.1,0.6,0.6,1.3,0,4.0,1.0,2.0,1.0,1.0,4.1,['UNC'],,0,0,0,,,
0,Chaundee Brown Jr.,2021-22,23.0,['TOT' 'LAL' 'ATL'],NBA,"SF,SG",5.0,2.0,27.7,3.0,8.3,0.36,2.0,5.0,0.4,1.0,3.3,0.3,0.48,1.7,2.0,0.833,0.3,4.3,4.7,1.3,0.7,0.0,0.5,2.3,9.7,1,16.0,9.0,3.0,2.0,,12.2,['WAKE' 'MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/brownch05.jpg,0,0,0,,,
0,Corey Brewer,2007-08,21.0,['MIN' 'TOT' 'DAL' 'DEN' 'HOU' 'LAL' 'OKC' 'PHI' 'SAC'],NBA,SF,82.0,82.0,32.2,5.0,11.6,0.5,1.3,3.7,0.417,4.1,8.7,0.667,0.529,2.3,3.3,0.8,1.3,2.8,3.9,3.3,2.3,0.4,2.1,3.1,13.0,1,51.0,18.0,9.0,6.0,3.0,40.8,['FLORIDA'],https://www.basketball-reference.com/req/202106291/images/headshots/breweco01.jpg,0,1,0,7,2007,
0,Marques Bolden,2019-20,21.0,['CLE'],NBA,C,6.0,0.0,4.8,0.2,0.5,0.333,0.0,0.0,,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,2.0,2.0,0.0,1.0,0.3,0.3,1.0,1.2,0,3.0,2.0,,1.0,2.0,5.4,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/boldema01.jpg,0,0,0,,,
0,Mark Bradtke,1996-97,28.0,['PHI'],NBA,C,36.0,0.0,7.0,0.7,1.6,0.431,0.0,0.0,,0.7,1.6,0.431,0.431,0.3,0.4,0.692,0.7,1.2,1.9,0.2,0.1,0.1,0.3,0.9,1.6,0,8.0,10.0,2.0,1.0,2.0,8.1,,,0,0,0,,,
0,J.J. Barea,2006-07,22.0,['DAL' 'MIN'],NBA,PG,81.0,18.0,25.2,4.4,10.2,0.446,1.7,4.5,0.389,3.2,6.8,0.499,0.522,1.9,2.4,0.909,0.5,2.7,2.9,6.3,0.6,0.1,2.5,1.8,11.6,0,32.0,10.0,15.0,4.0,1.0,26.5,['NEASTERN'],https://www.basketball-reference.com/req/202106291/images/headshots/bareajo01.jpg,0,1,0,,,1.0
0,Elmer Bennett,1994-95,24.0,['CLE' 'PHI' 'TOT' 'HOU' 'DEN'],NBA,PG,9.0,0.0,11.8,1.5,2.8,0.545,0.4,1.2,0.333,1.5,2.3,0.667,0.545,1.3,1.5,0.833,0.1,0.6,0.6,1.4,1.0,0.1,2.0,1.2,3.8,1,6.0,2.0,6.0,2.0,1.0,5.7,['NOTREDAME'],,0,0,0,11,1992,
0,Bob Burrow,1956-57,22.0,['ROC' 'MNL'],NBA,C,67.0,,15.3,2.0,5.5,0.374,,,,,,,,1.9,3.1,0.616,,,4.6,0.6,,,,2.5,6.0,0,23.0,13.0,3.0,,,,['KENTUCKY'],,0,0,0,1,1956,
