Player,Tot
Reggie Miller,5
Sidney Moncrief,5
Chris Mullin,5
Don Ohl,5
Andy Phillip,5
Charlie Scott,5
Gene Shue,5
Ralph Simpson,5
David Thompson,5
Klay Thompson,5
Rudy Tomjanovich,5
Wes Unseld,5
John Wall,5
Bobby Wanzer,5
Chris Webber,5
Paul Westphal,5
Vin Baker,4
Walt Bellamy,4
Otis Birdsong,4
Rolando Blackman,4
Ron Boone,4
Roger Brown,4
Joe Caldwell,4
Tom Chambers,4
Maurice Cheeks,4
Doug Collins,4
DeMarcus Cousins,4
Bob Dandridge,4
Bob Davies,4
Luka Dončić,4
Dick Garmaker,4
Draymond Green,4
Johnny Green,4
Anfernee Hardaway,4
Mel Hutchins,4
Warren Jabali,4
Larry Jones,4
Bernard King,4
Bill Laimbeer,4
Clyde Lovellette,4
Shawn Marion,4
George Mikan,4
Paul Millsap,4
Donovan Mitchell,4
Earl Monroe,4
Willie Naulls,4
Bob Netolicky,4
Jim Pollard,4
Mark Price,4
Micheal Ray Richardson,4
Arnie Risen,4
Red Robbins,4
Alvin Robertson,4
Guy Rodgers,4
Rajon Rondo,4
Ralph Sampson,4
Latrell Sprewell,4
Jayson Tatum,4
Kemba Walker,4
Ben Wallace,4
Rasheed Wallace,4
Sidney Wicks,4
Mark Aguirre,3
Gilbert Arenas,3
Bradley Beal,3
John Beasley,3
Devin Booker,3
Bill Bridges,3
Larry Brown,3
Darel Carrier,3
Phil Chenier,3
Glen Combs,3
Terry Dischinger,3
Steve Francis,3
Marc Gasol,3
Rudy Gobert,3
Richard Hamilton,3
Kevin Johnson,3
Stew Johnson,3
Eddie Jones,3
Steve Jones,3
Bob Kauffman,3
Red Kerr,3
Billy Knight,3
Freddie Lewis,3
Bob Love,3
Dan Majerle,3
Bill Melchionni,3
Khris Middleton,3
Doug Moe,3
Jeff Mullins,3
Larry Nance,3
Billy Paultz,3
Glen Rice,3
Derrick Rose,3
Dan Roundfield,3
Brandon Roy,3
Domantas Sabonis,3
Detlef Schrempf,3
Paul Seymour,3
Ben Simmons,3
Peja Stojaković,3
Maurice Stokes,3
George Thompson,3
Karl-Anthony Towns,3
Dick Van Arsdale,3
Tom Van Arsdale,3
Norm Van Lier,3
Antoine Walker,3
Jamaal Wilkes,3
Buck Williams,3
Deron Williams,3
Willie Wise,3
Bam Adebayo,2
Marvin Barnes,2
Leo Barnhorst,2
Byron Beck,2
Art Becker,2
Carlos Boozer,2
Elton Brand,2
Terrell Brandon,2
Frankie Brian,2
John Brisker,2
Jaylen Brown,2
Don Buse,2
Caron Butler,2
Archie Clark,2
Terry Cummings,2
Baron Davis,2
Warren Davis,2
Luol Deng,2
John Drew,2
Andre Drummond,2
Kevin Duckworth,2
Walter Dukes,2
Dike Eddleman,2
Sean Elliott,2
Michael Finley,2
Joe Fulks,2
Jack George,2
Manu Ginóbili,2
Roy Hibbert,2
Jrue Holiday,2
Allan Houston,2
Hot Rod Hundley,2
Les Hunter,2
Zydrunas Ilgauskas,2
Antawn Jamison,2
Eddie Johnson,2
John Johnson,2
Larry Johnson,2
Rich Jones,2
Don Kojis,2
Wendell Ladner,2
Zach LaVine,2
David Lee,2
Fat Lever,2
Mike Lewis,2
Rashard Lewis,2
Jeff Malone,2
Danny Manning,2
Stephon Marbury,2
Jack Marin,2
Brad Miller,2
Ja Morant,2
Swen Nater,2
Norm Nixon,2
Joakim Noah,2
Victor Oladipo,2
Jim Paxson,2
Geoff Petrie,2
Terry Porter,2
Cincy Powell,2
Julius Randle,2
Zach Randolph,2
Glenn Robinson,2
Truck Robinson,2
Red Rocha,2
Dennis Rodman,2
Jeff Ruland,2
Fred Scolari,2
Kenny Sears,2
Frank Selvy,2
Pascal Siakam,2
James Silas,2
Paul Silas,2
Jerry Sloan,2
Phil Smith,2
Randy Smith,2
Jerry Stackhouse,2
Levern Tart,2
Brian Taylor,2
Reggie Theus,2
Isaiah Thomas,2
Andrew Toney,2
Kelly Tripucka,2
Kiki Vandeweghe,2
Nikola Vučević,2
Jimmy Walker,2
Bill Walton,2
Scott Wedman,2
David West,2
Charlie Williams,2
Chuck Williams,2
Gus Williams,2
Zion Williamson,2
Brian Winters,2
Trae Young,2
Shareef Abdur-Rahim,1
Alvan Adams,1
Michael Adams,1
Danny Ainge,1
Jarrett Allen,1
Kenny Anderson,1
B.J. Armstrong,1
LaMelo Ball,1
Don Barksdale,1
Dick Barnett,1
Dana Barros,1
Butch Beard,1
Ralph Beard,1
Mookie Blaylock,1
John Block,1
Bob Boozer,1
Vince Boryla,1
Bill Bradley,1
Fred Brown,1
Roger Brown,1
Larry Bunce,1
Andrew Bynum,1
Austin Carr,1
Joe Barry Carroll,1
George Carter,1
Bill Cartwright,1
Sam Cassell,1
Cedric Ceballos,1
Tyson Chandler,1
Len Chappell,1
Nat Clifton,1
Derrick Coleman,1
Jack Coleman,1
Mike Conley,1
Antonio Davis,1
Dale Davis,1
Vlade Divac,1
James Donaldson,1
Goran Dragić,1
Jim Eakins,1
Mark Eaton,1
Anthony Edwards,1
Dale Ellis,1
Ray Felix,1
Sleepy Floyd,1
Jimmy Foster,1
De'Aaron Fox,1
World B. Free,1
Bill Gabor,1
Darius Garland,1
Chris Gatling,1
Gus Gerard,1
Shai Gilgeous-Alexander,1
Gerald Govan,1
Danny Granger,1
Horace Grant,1
A.C. Green,1
Mike Green,1
Rickey Green,1
Alex Groza,1
Tom Gugliotta,1
Tyrese Haliburton,1
Devin Harris,1
Bob Harrison,1
Hersey Hawkins,1
Gordon Hayward,1
Walt Hazzard,1
Wayne Hightower,1
Tyrone Hill,1
Lionel Hollins,1
Jeff Hornacek,1
Josh Howard,1
Juwan Howard,1
Andre Iguodala,1
Darrall Imhoff,1
Brandon Ingram,1
Jaren Jackson Jr.,1
Luke Jackson,1
Mark Jackson,1
Merv Jackson,1
Tony Jackson,1
Neil Johnson,1
Steve Johnson,1
Caldwell Jones,1
Wil Jones,1
DeAndre Jordan,1
Chris Kaman,1
Julius Keye,1
Jim King,1
Andrei Kirilenko,1
Kyle Korver,1
Sam Lacey,1
Christian Laettner,1
Clyde Lee,1
Reggie Lewis,1
Goose Ligon,1
Brook Lopez,1
Jamaal Magloire,1
Randy Mahaffey,1
Lauri Markkanen,1
Kenyon Martin,1
Jamal Mashburn,1
Anthony Mason,1
Ted McClain,1
Xavier McDaniel,1
Jim McDaniels,1
Antonio McDyess,1
Jon McGlocklin,1
Dewitt Menyard,1
Tom Meschery,1
Eddie Miles,1
Mike Mitchell,1
Steve Mix,1
Jack Molinas,1
Gene Moore,1
Calvin Murphy,1
Dejounte Murray,1
Calvin Natt,1
Jameer Nelson,1
Chuck Noble,1
Charles Oakley,1
Mehmet Okur,1
Ricky Pierce,1
Kristaps Porziņģis,1
Jim Price,1
Theo Ratliff,1
Michael Redd,1
Richie Regan,1
Doc Rivers,1
Clifford Robinson,1
Flynn Robinson,1
Curtis Rowe,1
Bob Rule,1
Campy Russell,1
Cazzie Russell,1
D'Angelo Russell,1
Woody Sauldsberry,1
Fred Schaus,1
Lee Shaffer,1
Lonnie Shelton,1
Walt Simon,1
Adrian Smith,1
Steve Smith,1
Rik Smits,1
Willie Somerset,1
John Starks,1
Don Sunderlage,1
Wally Szczerbiak,1
Jeff Teague,1
Claude Terry,1
Skip Thoren,1
Otis Thorpe,1
Monte Towe,1
Dave Twardzik,1
Nick Van Exel,1
Fred VanVleet,1
Chico Vaughn,1
Bob Verga,1
Gerald Wallace,1
Paul Walther,1
Ben Warley,1
Kermit Washington,1
Trooper Washington,1
Andrew Wiggins,1
Jayson Williams,1
Mo Williams,1
Kevin Willis,1
Metta World Peace,1
Max Zaslofsky,1
